CustomerID,Name,AccountType,Balance,TransactionCount,Region,JoinDate,IsActive,CreditScore
9979,Sarah Williams,Checking,89771.14,42,New Jersey,2020-02-16,True,
40742,Selena Obrien,Savings,44711.44,47,Arkansas,2023-12-18,False,
18236,Adam Mitchell,Credit Card,86368.49,21,California,2020-11-09,False,
25372,Erica Knapp,Checking,16326.34,21,South Carolina,2021-08-08,False,
43987,Victoria Martinez,Checking,30007.25,2,Texas,2020-03-27,True,
22258,Katherine Cameron,Credit Card,36855.45,48,Connecticut,2022-03-22,False,
156,David Smith,Savings,53018.89,23,Rhode Island,2024-11-08,False,
5245,Christina Murphy,Savings,43640.16,7,Nevada,2020-11-07,True,
94313,Tyler Lewis,Credit Card,19458.9,16,Wisconsin,2021-01-25,True,
38093,Anne Mcdowell,Savings,15210.43,45,New Mexico,2024-04-14,False,
28047,Christopher Hill,Savings,38573.37,37,North Carolina,2022-04-03,False,524.0
46839,Patrick Hicks,Savings,98507.83,12,Texas,2023-09-27,True,
57775,Cheryl Jackson,Checking,99419.86,42,New York,2021-08-04,False,
2626,James Allen,Savings,89829.23,31,Minnesota,2022-11-07,False,
46021,Elijah Mitchell,Credit Card,73324.77,43,Alaska,2020-03-09,True,443.0
65006,Cheryl Hurley,Checking,47347.53,29,West Virginia,2020-07-28,False,
86141,Brett Preston,Credit Card,28815.66,19,Virginia,2020-06-24,False,823.0
88779,Christine Greene,Credit Card,50213.17,15,Colorado,2021-07-07,False,
27007,Amanda Henderson,Checking,34527.51,4,Ohio,2021-11-15,False,
91651,Joseph Burton,Checking,74293.32,27,Hawaii,2022-07-06,True,
50840,Diane Forbes,Credit Card,47526.65,49,Mississippi,2024-12-21,True,459.0
72643,William Garcia,Credit Card,53658.67,30,Georgia,2020-06-18,True,
2788,Ian Anderson,Checking,20800.54,10,Nebraska,2024-12-30,False,380.0
44693,Matthew Alvarez,Savings,32519.05,15,Ohio,2022-12-05,False,774.0
27488,Miranda Walker,Savings,76322.49,40,New Jersey,2020-11-08,True,439.0
18439,Mark Schultz,Checking,50032.24,36,South Carolina,2022-04-01,False,
50206,Darrell Ross,Savings,81523.35,13,Mississippi,2023-07-30,False,673.0
53768,Travis Rodgers,Savings,61252.98,2,Maryland,2023-07-27,False,
87439,Kara Caldwell,Savings,91886.88,21,Iowa,2023-06-27,False,460.0
14315,Michael Brown,Savings,19809.97,31,Illinois,2021-08-21,False,313.0
23201,Maureen Thomas,Checking,95483.75,21,Mississippi,2020-11-05,False,
45202,Paul Bradford,Credit Card,92918.45,14,Virginia,2023-10-21,True,
46341,Thomas Krueger,Credit Card,43270.15,48,Louisiana,2022-11-19,False,
28232,Julie Davis,Savings,10643.56,14,Oklahoma,2021-09-01,False,575.0
62409,Erik Beck,Credit Card,91931.0,9,Wyoming,2020-05-27,False,
83836,Morgan Jarvis,Checking,12742.11,27,Florida,2021-09-20,True,390.0
97675,Jeffrey Vargas,Savings,98707.08,6,Washington,2022-03-29,True,
2326,Kim Rodriguez,Checking,48081.2,14,Maryland,2023-07-14,False,406.0
90335,James Curry,Checking,7344.91,13,Hawaii,2020-02-11,False,
36526,Angel Nelson,Savings,66130.44,7,Wyoming,2020-12-19,True,564.0
3567,Kevin Anderson,Credit Card,87915.51,12,Maryland,2023-06-14,False,
29841,Jessica Wright,Credit Card,52042.11,11,Mississippi,2023-04-11,False,386.0
42273,Debra Cook,Checking,42362.74,1,Oklahoma,2023-12-22,False,
51565,Travis Douglas,Checking,78565.32,7,North Dakota,2023-08-17,False,
43004,Jennifer Willis,Savings,66450.92,28,Florida,2020-04-23,False,591.0
39956,Sarah Underwood,Credit Card,56976.4,18,Maine,2022-08-06,True,740.0
95467,Nicole Myers,Savings,55785.18,13,Wisconsin,2023-11-05,True,
55380,Greg Mathis,Checking,12148.32,44,Alabama,2020-10-25,True,
80950,Elizabeth Stout,Savings,97993.44,14,Delaware,2021-10-02,True,829.0
49831,Dylan King,Checking,70128.93,50,Maryland,2024-06-07,True,
36186,Lisa Reilly,Credit Card,92022.22,35,Illinois,2022-02-13,False,458.0
82915,Connor Frye,Checking,25608.04,41,North Dakota,2023-01-06,False,
77950,Jason Mercer,Credit Card,93204.1,49,Nevada,2020-05-26,False,
69468,Laura Bailey,Checking,78903.03,49,Tennessee,2022-05-24,False,
31797,Linda Robinson,Checking,18287.52,2,North Dakota,2025-01-25,True,
75183,Steven Torres,Savings,32217.2,2,Arkansas,2024-07-28,True,
76883,Michael Harvey,Credit Card,63337.98,30,Montana,2024-05-15,True,
34116,Gregory Perez,Checking,84435.43,37,Nebraska,2022-07-03,False,787.0
36663,Kyle Johnson,Checking,4172.66,33,Utah,2021-12-18,True,
42629,Monique Parks,Credit Card,42200.64,38,Louisiana,2020-01-08,False,
99762,Stephanie Lewis,Savings,89292.8,5,Kentucky,2022-08-01,True,326.0
9315,Candice Morales,Checking,48491.85,37,Mississippi,2024-07-14,False,715.0
73865,Kimberly Clark,Savings,87303.31,23,New Jersey,2022-10-19,False,513.0
91872,Gabriel Camacho,Savings,21025.66,30,South Carolina,2020-02-12,False,576.0
63111,Karen Hodge,Credit Card,31014.55,39,North Dakota,2024-05-06,False,695.0
68346,Kim Mullen,Credit Card,17089.87,3,New Mexico,2020-03-05,False,833.0
68204,Kevin Roy,Checking,78790.36,8,Rhode Island,2020-01-19,True,
82447,Levi Guzman,Credit Card,25478.52,24,Colorado,2022-04-11,True,836.0
16249,Mark Singleton,Savings,56641.34,12,Utah,2023-01-02,False,676.0
98864,Maria Holland,Credit Card,37359.91,46,Minnesota,2023-02-23,False,784.0
7320,Jodi Davis,Savings,56265.81,40,Minnesota,2024-02-03,False,
18268,Colin Foster,Credit Card,55075.46,45,Texas,2022-05-18,True,696.0
64895,Randy Wilson,Savings,60336.23,46,Iowa,2023-12-29,True,415.0
54874,Beverly Thomas,Checking,51008.67,41,Arizona,2022-06-27,True,
20338,Jose Weaver,Savings,4176.86,4,Wisconsin,2025-01-06,True,
59666,Melissa Mills,Savings,57310.07,1,Maryland,2021-03-27,True,
28142,Theresa Diaz,Savings,91739.31,7,Maryland,2024-11-17,False,
94966,Dustin Massey,Checking,55094.66,1,North Dakota,2020-02-12,True,
23396,Elizabeth Parker,Checking,88133.71,26,New Mexico,2021-03-11,False,405.0
52268,Steve Hogan,Credit Card,21119.93,32,Louisiana,2024-02-03,True,492.0
35358,Donald Martinez,Savings,7347.09,4,Kentucky,2022-08-03,True,
88257,Christopher Ford DDS,Checking,99589.75,13,Nevada,2022-01-02,True,343.0
80017,Chris Henderson,Credit Card,7252.7,6,Tennessee,2024-08-27,True,586.0
89510,Alexander Downs,Checking,68945.93,30,Mississippi,2023-07-29,True,
65431,Kathleen Owen,Credit Card,70686.78,45,Georgia,2024-06-16,True,818.0
85517,Shawn Potter,Checking,53399.28,23,Indiana,2023-05-21,True,
71647,Anthony Moreno,Checking,38605.25,47,Arkansas,2021-11-04,False,
24380,Diane Smith,Credit Card,46827.08,43,Oklahoma,2021-09-02,True,791.0
32512,Amber Delgado,Checking,54527.03,7,Alabama,2024-12-27,True,
93938,Donna Johnson,Credit Card,26192.36,11,Maryland,2020-09-12,False,556.0
11435,Ann Weiss,Savings,33851.39,37,Alaska,2022-12-16,False,
13695,Taylor Tate,Credit Card,15429.77,32,Rhode Island,2022-07-02,False,
13408,Jennifer Rhodes,Savings,54459.61,9,Louisiana,2024-06-20,True,
79514,John Pratt,Checking,54715.03,50,Texas,2021-01-31,False,470.0
58427,Edward Johnson,Checking,48599.01,11,Rhode Island,2020-11-18,False,806.0
18084,Michelle Johnson,Credit Card,35035.19,49,Wyoming,2021-12-24,False,366.0
30067,Gregory Kelley,Credit Card,50147.42,21,Kansas,2022-06-16,True,386.0
73785,Brent Blackwell,Credit Card,98264.74,36,Delaware,2021-08-28,True,
59537,Cory Kennedy,Savings,59625.21,9,Tennessee,2021-11-17,False,
86808,Michelle Welch,Checking,53079.81,5,Georgia,2021-08-01,True,
60015,Rachel Rodriguez,Checking,81968.06,12,Missouri,2025-03-22,False,
75089,Russell Orr,Credit Card,10581.89,42,Connecticut,2022-04-10,True,
46015,Theodore Fernandez,Credit Card,98147.56,23,Iowa,2021-11-04,False,626.0
28927,Jaime Perry,Savings,53044.52,37,New York,2023-05-09,True,
97395,Joe Watkins,Checking,31200.91,1,Wyoming,2020-07-23,False,433.0
69366,Melissa Hayes,Savings,45832.85,38,Michigan,2022-12-12,False,
13718,Joseph Navarro,Savings,8417.37,20,Arizona,2023-07-15,True,376.0
42074,Alexis Lynch,Checking,11453.82,40,North Dakota,2024-12-26,False,
5191,Nicholas Morris,Checking,77349.44,26,New Mexico,2022-11-23,False,
40861,Juan Thompson,Checking,88843.64,44,Missouri,2022-05-05,True,
4032,Ashley Gregory,Checking,29143.75,47,Texas,2021-05-20,False,
15269,Tyrone Humphrey,Savings,76481.18,41,Wisconsin,2021-05-03,True,534.0
51258,Jeremy Johnson,Checking,99001.97,35,Louisiana,2022-05-02,False,
9658,William Barker,Savings,4044.79,36,California,2024-12-27,True,
2342,Chris Morgan,Checking,18818.45,25,Oregon,2020-07-30,True,440.0
74158,John Wade,Checking,52126.36,16,Washington,2024-11-06,False,
6800,Christopher Jackson,Credit Card,77061.09,14,North Carolina,2020-11-13,False,
54616,Vanessa Clark,Checking,77924.45,8,Tennessee,2025-02-14,False,
57161,Katherine Green,Checking,84045.21,13,Oklahoma,2021-01-09,True,
85245,Kevin Hood,Checking,9015.66,28,Vermont,2022-03-19,True,338.0
36678,Anthony Evans,Credit Card,19280.29,19,Missouri,2025-01-09,True,
36533,Hunter Kennedy,Checking,62467.31,42,Florida,2022-12-15,False,313.0
73242,Donna Diaz,Savings,99718.79,44,New Hampshire,2023-09-15,True,
32385,Erik Gonzalez,Checking,22174.91,33,Ohio,2023-08-22,False,605.0
39387,Diamond Kelly,Savings,8214.77,39,Arkansas,2021-06-11,False,565.0
37142,Katherine Long,Savings,80019.32,13,Michigan,2024-04-06,True,308.0
63020,Maureen Glass,Credit Card,82222.73,11,Pennsylvania,2021-07-14,True,
89032,John Robinson,Checking,48899.68,30,Missouri,2022-10-15,True,
17463,Jacob Gonzalez,Savings,12801.64,17,Washington,2024-10-01,False,
41021,Robert Stewart,Credit Card,15021.19,25,Michigan,2024-04-23,True,556.0
11376,Joseph Rodriguez,Checking,84615.52,23,Nevada,2024-10-01,True,469.0
78567,Todd Finley,Credit Card,54135.25,34,New Jersey,2021-05-07,True,
6848,Dennis King,Checking,85183.73,46,Utah,2020-06-16,True,
69875,Laura Pierce,Checking,37442.04,4,Oklahoma,2024-06-24,True,510.0
15142,Christopher Arias,Credit Card,81487.49,3,Pennsylvania,2021-03-25,False,404.0
89444,Scott Wright,Checking,66402.13,27,Connecticut,2020-10-30,True,
24543,Tracy Cobb,Credit Card,42257.72,47,Connecticut,2022-09-04,True,309.0
78407,Antonio Stevenson,Checking,91013.82,37,Arkansas,2022-03-27,False,472.0
